Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,-0.16169345,999.0,0.0,0.0,1.0
20000,1.4189383,-0.14070694,999.0,-2.375,-2.375,1.0
30000,1.4182785,-0.03212684,999.0,0.0,0.0,1.0
40000,1.4181894,0.029943928,999.0,-0.23333333333333334,-0.23333333333333334,1.0
50000,1.4166873,0.0057719676,999.0,0.0,0.0,1.0
60000,1.4162387,0.036869787,999.0,-6.6875,-6.6875,1.0
70000,1.4164639,0.0061594252,999.0,-1.375,-1.375,1.0
80000,1.4165937,-0.03350815,999.0,-0.3,-0.3,1.0
90000,1.4164824,0.035378866,999.0,0.0,0.0,1.0
100000,1.4163824,-0.017235631,999.0,-0.8125,-0.8125,1.0
110000,1.4158182,-0.010339216,999.0,-0.1875,-0.1875,1.0
120000,1.4152144,0.021807346,999.0,-0.06666666666666667,-0.06666666666666667,1.0
130000,1.4149104,0.027091939,999.0,0.0,0.0,1.0
140000,1.4143811,0.025008228,999.0,-0.18157847225666046,-0.18157847225666046,1.0
150000,1.413938,0.036055226,999.0,-0.125,-0.125,1.0
160000,1.4128225,0.039416425,999.0,-0.06666666666666667,-0.06666666666666667,1.0
170000,1.4127653,0.047982603,999.0,0.0,0.0,1.0
180000,1.4125253,0.034819182,999.0,0.0,0.0,1.0
190000,1.4124677,0.04307633,999.0,-0.0625,-0.0625,1.0
200000,1.4118226,0.038423393,999.0,0.0,0.0,1.0
210000,1.4118226,0.030112034,999.0,0.022554549905988906,0.022554549905988906,1.0
220000,1.4096923,0.033248596,999.0,-0.0625,-0.0625,1.0
230000,1.4096438,0.033080515,999.0,0.0,0.0,1.0
240000,1.4098134,0.037215713,999.0,0.0,0.0,1.0
250000,1.4098461,0.036662407,999.0,0.020899745325247448,0.020899745325247448,1.0
260000,1.4103833,0.033509966,999.0,0.0,0.0,1.0
270000,1.410534,0.040041972,999.0,0.0,0.0,1.0
280000,1.4110075,0.036353946,999.0,0.0,0.0,1.0
290000,1.4112238,0.031934332,999.0,0.0,0.0,1.0
300000,1.4108593,0.029230595,999.0,-0.25,-0.25,1.0
310000,1.4105778,0.033619538,999.0,0.0,0.0,1.0
320000,1.410957,0.030404815,999.0,0.0,0.0,1.0
330000,1.4113749,0.028135914,999.0,0.0,0.0,1.0
340000,1.4110098,0.028346831,999.0,0.0,0.0,1.0
350000,1.4104189,0.025877062,999.0,0.0,0.0,1.0
